fold,bootstrap_objective,n_bootstrap,full_oof_threshold,full_oof_objective_score,bootstrap_threshold_mean,bootstrap_threshold_std,bootstrap_threshold_min,bootstrap_threshold_q25,bootstrap_threshold_median,bootstrap_threshold_q65,bootstrap_threshold_q75,bootstrap_threshold_max,full_oof_auroc,full_oof_auprc,full_oof_accuracy,full_oof_sensitivity,full_oof_specificity,full_oof_f1,full_oof_tp,full_oof_tn,full_oof_fp,full_oof_fn,threshold_aggregation,threshold_quantile,threshold,bag_oof_auroc,bag_oof_auprc,bag_oof_accuracy,bag_oof_sensitivity,bag_oof_specificity,bag_oof_f1,bag_oof_tp,bag_oof_tn,bag_oof_fp,bag_oof_fn
0,accuracy,1000,0.3237403440924212,0.9375,0.3273598551453525,0.013983753497367577,0.3237403440924212,0.3237403440924212,0.3237403440924212,0.3275245874785029,0.3275245874785029,0.4414407100838745,0.9323671497584541,0.7918791085457753,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0,median,0.5,0.3237403440924212,0.9323671497584541,0.7918791085457753,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,accuracy,1000,0.3237403440924212,0.9375,0.3273598551453525,0.013983753497367577,0.3237403440924212,0.3237403440924212,0.3237403440924212,0.3275245874785029,0.3275245874785029,0.4414407100838745,0.9323671497584541,0.7918791085457753,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0,q65,0.65,0.3275245874785029,0.9323671497584541,0.7918791085457753,0.90625,0.8888888888888888,0.9130434782608695,0.8421052631578948,8.0,21.0,2.0,1.0
0,accuracy,1000,0.3237403440924212,0.9375,0.3273598551453525,0.013983753497367577,0.3237403440924212,0.3237403440924212,0.3237403440924212,0.3275245874785029,0.3275245874785029,0.4414407100838745,0.9323671497584541,0.7918791085457753,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0,q75,0.75,0.3275245874785029,0.9323671497584541,0.7918791085457753,0.90625,0.8888888888888888,0.9130434782608695,0.8421052631578948,8.0,21.0,2.0,1.0
1,accuracy,1000,0.3841118750558501,0.875,0.3685158851482141,0.02730618977785707,0.2834784398293707,0.3474081596244773,0.355984591167536,0.3841118750558501,0.3841118750558501,0.441690968738236,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0,median,0.5,0.355984591167536,0.9178743961352657,0.723577040243707,0.875,0.7777777777777778,0.9130434782608695,0.7777777777777778,7.0,21.0,2.0,2.0
1,accuracy,1000,0.3841118750558501,0.875,0.3685158851482141,0.02730618977785707,0.2834784398293707,0.3474081596244773,0.355984591167536,0.3841118750558501,0.3841118750558501,0.441690968738236,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0,q65,0.65,0.3841118750558501,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
1,accuracy,1000,0.3841118750558501,0.875,0.3685158851482141,0.02730618977785707,0.2834784398293707,0.3474081596244773,0.355984591167536,0.3841118750558501,0.3841118750558501,0.441690968738236,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0,q75,0.75,0.3841118750558501,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
2,accuracy,1000,0.2820715027672283,0.90625,0.31051426697636686,0.041550252223839644,0.2820715027672283,0.2820715027672283,0.3007729281645735,0.3007729281645735,0.3196579632472137,0.4396187815860709,0.9322916666666666,0.7947781385281385,0.90625,1.0,0.875,0.8421052631578948,8.0,21.0,3.0,0.0,median,0.5,0.3007729281645735,0.9322916666666666,0.7947781385281385,0.875,0.875,0.875,0.7777777777777777,7.0,21.0,3.0,1.0
2,accuracy,1000,0.2820715027672283,0.90625,0.31051426697636686,0.041550252223839644,0.2820715027672283,0.2820715027672283,0.3007729281645735,0.3007729281645735,0.3196579632472137,0.4396187815860709,0.9322916666666666,0.7947781385281385,0.90625,1.0,0.875,0.8421052631578948,8.0,21.0,3.0,0.0,q65,0.65,0.3007729281645735,0.9322916666666666,0.7947781385281385,0.875,0.875,0.875,0.7777777777777777,7.0,21.0,3.0,1.0
2,accuracy,1000,0.2820715027672283,0.90625,0.31051426697636686,0.041550252223839644,0.2820715027672283,0.2820715027672283,0.3007729281645735,0.3007729281645735,0.3196579632472137,0.4396187815860709,0.9322916666666666,0.7947781385281385,0.90625,1.0,0.875,0.8421052631578948,8.0,21.0,3.0,0.0,q75,0.75,0.3196579632472137,0.9322916666666666,0.7947781385281385,0.84375,0.625,0.9166666666666666,0.6666666666666666,5.0,22.0,2.0,3.0
3,accuracy,1000,0.3392258155738876,0.90625,0.35086346878263314,0.02830677414969716,0.2634187470536502,0.3392258155738876,0.3392258155738876,0.3525357194663847,0.3525357194663847,0.4671401525639121,0.9082125603864735,0.8263227513227513,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,median,0.5,0.3392258155738876,0.9082125603864735,0.8263227513227513,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
3,accuracy,1000,0.3392258155738876,0.90625,0.35086346878263314,0.02830677414969716,0.2634187470536502,0.3392258155738876,0.3392258155738876,0.3525357194663847,0.3525357194663847,0.4671401525639121,0.9082125603864735,0.8263227513227513,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,q65,0.65,0.3525357194663847,0.9082125603864735,0.8263227513227513,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
3,accuracy,1000,0.3392258155738876,0.90625,0.35086346878263314,0.02830677414969716,0.2634187470536502,0.3392258155738876,0.3392258155738876,0.3525357194663847,0.3525357194663847,0.4671401525639121,0.9082125603864735,0.8263227513227513,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,q75,0.75,0.3525357194663847,0.9082125603864735,0.8263227513227513,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
4,accuracy,1000,0.3821643818114181,0.90625,0.3573746976635256,0.03335304143721014,0.2875460135866577,0.3162621450149029,0.3821643818114181,0.3821643818114181,0.3821643818114181,0.421407207326359,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,median,0.5,0.3821643818114181,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
4,accuracy,1000,0.3821643818114181,0.90625,0.3573746976635256,0.03335304143721014,0.2875460135866577,0.3162621450149029,0.3821643818114181,0.3821643818114181,0.3821643818114181,0.421407207326359,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,q65,0.65,0.3821643818114181,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
4,accuracy,1000,0.3821643818114181,0.90625,0.3573746976635256,0.03335304143721014,0.2875460135866577,0.3162621450149029,0.3821643818114181,0.3821643818114181,0.3821643818114181,0.421407207326359,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0,q75,0.75,0.3821643818114181,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
